number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_batch_size,params_layer_size_0,params_layer_size_1,params_layer_size_2,params_layer_size_3,params_layer_size_4,params_layer_size_5,params_layer_size_6,params_layer_size_7,params_layer_size_8,params_layer_size_9,params_learning_rate,params_learning_rate_init,params_num_hiddenlayers,params_solver,state
0,0.622098711451622,2024-01-28 19:49:50.340403,2024-01-28 19:50:18.312840,0 days 00:00:27.972437,relu,8.957055600871556,128,105,130,155.0,75.0,70.0,,,,,,adaptive,0.06258038082327685,5,sgd,COMPLETE
1,0.5079632094236786,2024-01-28 19:49:50.343405,2024-01-28 19:49:59.193756,0 days 00:00:08.850351,logistic,29.705825600878867,auto,135,110,160.0,180.0,80.0,140.0,,,,,constant,8.597657026123236e-05,6,adam,COMPLETE
2,0.5091919065773693,2024-01-28 19:49:50.346406,2024-01-28 19:50:06.608668,0 days 00:00:16.262262,logistic,45.414642889754845,64,50,55,90.0,95.0,15.0,40.0,100.0,,,,adaptive,0.00041910420827996235,7,adam,COMPLETE
3,0.5301124538454992,2024-01-28 19:49:50.348404,2024-01-28 19:50:01.625097,0 days 00:00:11.276693,logistic,8.63590911113048,64,70,60,,,,,,,,,adaptive,0.04503294556823047,2,sgd,COMPLETE
4,0.5205205482473427,2024-01-28 19:49:50.350403,2024-01-28 19:50:21.302823,0 days 00:00:30.952420,relu,29.870969552280503,64,180,115,125.0,135.0,175.0,,,,,,invscaling,0.0008275974073630413,5,sgd,COMPLETE
5,0.48167657634796673,2024-01-28 19:49:50.352403,2024-01-28 19:51:09.575104,0 days 00:01:19.222701,logistic,80.99296109581853,128,105,130,185.0,25.0,100.0,55.0,195.0,100.0,200.0,,constant,0.000521210925818222,9,adam,COMPLETE
6,0.5351112132706403,2024-01-28 19:49:50.355405,2024-01-28 19:52:46.351785,0 days 00:02:55.996380,relu,80.20108814846297,128,15,95,130.0,,,,,,,,constant,0.014214803319068839,3,lbfgs,COMPLETE
7,0.506060229700392,2024-01-28 19:49:50.357405,2024-01-28 19:50:40.427467,0 days 00:00:50.070062,relu,59.869183851352005,128,50,170,20.0,120.0,30.0,,,,,,invscaling,0.0013041901646672063,5,adam,COMPLETE
8,0.5304079595544288,2024-01-28 19:49:50.360406,2024-01-28 19:50:24.471841,0 days 00:00:34.111435,relu,18.29011289843686,auto,25,150,60.0,25.0,,,,,,,constant,4.266004267248358e-05,4,sgd,COMPLETE
9,0.6667742911460129,2024-01-28 19:49:50.360406,2024-01-28 19:50:07.301659,0 days 00:00:16.941253,tanh,2.4376862616958817,64,130,175,,,,,,,,,adaptive,0.00011435570666391007,2,adam,COMPLETE
