number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_n_estimators,state
0,0.6844184834742648,2024-01-28 17:48:06.179476,2024-01-28 17:54:48.819475,0 days 00:06:42.639999,False,entropy,24,log2,10,2000,COMPLETE
1,0.6830327046486397,2024-01-28 17:48:06.184887,2024-01-28 17:55:12.043611,0 days 00:07:05.858724,False,entropy,7,sqrt,15,3700,COMPLETE
2,0.6845643974295204,2024-01-28 17:48:06.187476,2024-01-28 17:56:01.835690,0 days 00:07:55.648214,True,gini,22,0.3,35,3900,COMPLETE
3,0.6720602563835462,2024-01-28 17:48:06.189478,2024-01-28 17:54:08.840429,0 days 00:06:02.650951,False,gini,4,log2,35,2600,COMPLETE
4,0.6767688866188764,2024-01-28 17:48:06.191477,2024-01-28 17:56:14.511538,0 days 00:08:08.320061,False,gini,6,0.5,35,1200,COMPLETE
5,0.6751552674586965,2024-01-28 17:48:06.192478,2024-01-28 17:55:07.734353,0 days 00:07:01.541875,True,entropy,5,0.3,50,2050,COMPLETE
6,0.6790176378812738,2024-01-28 17:48:06.193480,2024-01-28 17:53:22.875445,0 days 00:05:16.681965,False,gini,6,sqrt,45,1000,COMPLETE
7,0.6862809362915117,2024-01-28 17:48:06.194478,2024-01-28 17:57:48.403340,0 days 00:09:42.208862,False,entropy,15,0.1,35,1150,COMPLETE
8,0.6786230722657012,2024-01-28 17:48:06.196478,2024-01-28 17:55:38.654109,0 days 00:07:32.457631,True,entropy,7,0.1,45,4450,COMPLETE
9,0.6854984277148175,2024-01-28 17:48:06.199479,2024-01-28 17:59:16.653567,0 days 00:11:10.454088,True,gini,14,0.3,30,3950,COMPLETE
10,0.6417323847561018,2024-01-28 17:48:06.202652,2024-01-28 17:59:34.020426,0 days 00:11:27.817774,False,gini,22,0.9,35,2050,COMPLETE
11,0.685423442930187,2024-01-28 17:48:06.204650,2024-01-28 17:59:19.490574,0 days 00:11:13.285924,True,entropy,24,0.1,5,1750,COMPLETE
12,0.6867033530098162,2024-01-28 17:48:06.205651,2024-01-28 18:01:25.666756,0 days 00:13:19.461105,False,entropy,22,0.1,35,3550,COMPLETE
13,0.6410581737212466,2024-01-28 17:48:06.207650,2024-01-28 18:04:41.918462,0 days 00:16:35.710812,False,gini,15,0.9,40,3050,COMPLETE
14,0.6792093802823015,2024-01-28 17:48:06.208651,2024-01-28 17:56:18.811278,0 days 00:08:12.602627,False,gini,17,log2,50,4500,COMPLETE
15,0.6600506557040072,2024-01-28 17:48:06.209650,2024-01-28 18:08:01.250594,0 days 00:19:55.040944,False,entropy,5,0.7,10,4350,COMPLETE
16,0.6785388963584846,2024-01-28 17:53:23.532547,2024-01-28 18:01:08.776067,0 days 00:07:45.243520,True,gini,23,log2,25,2700,COMPLETE
17,0.6839645259666283,2024-01-28 17:54:09.618470,2024-01-28 18:03:00.032688,0 days 00:08:50.414218,False,entropy,22,sqrt,45,3050,COMPLETE
18,0.6769488745111232,2024-01-28 17:54:49.265475,2024-01-28 18:03:14.283431,0 days 00:08:25.017956,True,entropy,12,log2,35,4300,COMPLETE
19,0.6785835060085781,2024-01-28 17:55:08.453352,2024-01-28 18:11:10.111358,0 days 00:16:01.658006,False,entropy,13,0.5,45,3400,COMPLETE
20,0.684558151922292,2024-01-28 17:55:12.624345,2024-01-28 18:07:01.498466,0 days 00:11:48.874121,True,gini,8,0.3,30,4300,COMPLETE
21,0.6807075312983076,2024-01-28 17:55:39.554096,2024-01-28 18:08:00.440591,0 days 00:12:20.886495,False,entropy,8,log2,30,3650,COMPLETE
22,0.6922714747938674,2024-01-28 17:56:02.381234,2024-01-28 18:12:08.096121,0 days 00:16:05.714887,False,entropy,11,0.3,10,2750,COMPLETE
23,0.6674306408603113,2024-01-28 17:56:14.707054,2024-01-28 18:09:54.152953,0 days 00:13:39.445899,False,entropy,23,0.7,45,350,COMPLETE
24,0.678080373789108,2024-01-28 17:56:19.141278,2024-01-28 18:12:17.845043,0 days 00:15:58.703765,True,gini,5,0.7,40,2300,COMPLETE
25,0.680032871328381,2024-01-28 17:57:49.009339,2024-01-28 18:11:25.613082,0 days 00:13:36.603743,True,entropy,13,0.1,20,150,COMPLETE
26,0.6830182509135905,2024-01-28 17:59:17.521658,2024-01-28 18:11:54.353643,0 days 00:12:36.831985,True,entropy,13,0.1,25,250,COMPLETE
27,0.6832960603404551,2024-01-28 17:59:20.344729,2024-01-28 18:11:50.687448,0 days 00:12:30.342719,True,gini,13,0.7,25,100,COMPLETE
