number,value,datetime_start,datetime_complete,duration,params_C,params_degree,params_gamma,params_kernel,params_shrinking,state
0,0.49556758540005375,2024-01-28 19:45:52.474299,2024-01-28 19:45:59.136365,0 days 00:00:06.662066,888.9379462630469,12,2.5,poly,False,COMPLETE
1,0.5280736310110281,2024-01-28 19:45:52.475295,2024-01-28 19:45:59.864669,0 days 00:00:07.389374,394.3768595182769,7,1.5,poly,True,COMPLETE
2,0.5692111263382132,2024-01-28 19:45:52.477297,2024-01-28 19:46:01.106077,0 days 00:00:08.628780,445.1540908604345,12,auto,rbf,True,COMPLETE
3,0.5208254650339472,2024-01-28 19:45:52.479295,2024-01-28 19:46:08.204594,0 days 00:00:15.725299,463.95640488383464,5,1.5,rbf,False,COMPLETE
4,0.5113402554109774,2024-01-28 19:45:52.481296,2024-01-28 19:46:18.060177,0 days 00:00:25.578881,11.140881265634372,9,2.5,rbf,True,COMPLETE
5,0.5673075288684677,2024-01-28 19:45:52.482295,2024-01-28 19:46:06.292504,0 days 00:00:13.810209,758.0455862834822,3,auto,poly,True,COMPLETE
6,0.5703432913306397,2024-01-28 19:45:52.484295,2024-01-28 19:46:13.781962,0 days 00:00:21.297667,333.8498550672142,3,1.5,poly,False,COMPLETE
7,0.5529579664073366,2024-01-28 19:45:52.486295,2024-01-28 19:46:16.538193,0 days 00:00:24.051898,226.63145227026166,5,0.5,poly,False,COMPLETE
8,0.49537572547371234,2024-01-28 19:45:52.490295,2024-01-28 19:46:24.279744,0 days 00:00:31.789449,644.169826159179,12,0.5,poly,False,COMPLETE
9,0.5316976941681358,2024-01-28 19:45:52.491299,2024-01-28 19:46:22.732212,0 days 00:00:30.240913,844.6383156871707,9,auto,poly,True,COMPLETE
10,0.5915922447435373,2024-01-28 19:45:52.494297,2024-01-28 19:46:30.608154,0 days 00:00:38.113857,220.4940791215129,12,scale,rbf,False,COMPLETE
11,0.5692111263382132,2024-01-28 19:45:52.496295,2024-01-28 19:46:32.186936,0 days 00:00:39.690641,437.8944391569087,9,auto,rbf,False,COMPLETE
12,0.528161525146763,2024-01-28 19:45:52.497295,2024-01-28 19:46:28.359009,0 days 00:00:35.861714,130.97973943606308,9,scale,poly,True,COMPLETE
13,0.5383296333958464,2024-01-28 19:45:52.500299,2024-01-28 19:46:29.311296,0 days 00:00:36.810997,6.438089263234047,5,auto,poly,True,COMPLETE
14,0.575461790205755,2024-01-28 19:45:52.501298,2024-01-28 19:46:31.575761,0 days 00:00:39.074463,71.56461168959898,3,scale,poly,False,COMPLETE
15,0.5272557502711305,2024-01-28 19:45:52.502302,2024-01-28 19:46:36.166329,0 days 00:00:43.664027,442.3095172915639,3,0.5,rbf,False,COMPLETE
16,0.5380513910825603,2024-01-28 19:45:59.847675,2024-01-28 19:46:34.078932,0 days 00:00:34.231257,165.7048478797995,7,auto,poly,False,COMPLETE
17,0.49537572547371234,2024-01-28 19:46:00.363660,2024-01-28 19:46:34.957325,0 days 00:00:34.593665,26.710404200420243,12,0.5,poly,True,COMPLETE
