number,value,datetime_start,datetime_complete,duration,params_eta,params_gamma,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.5,2024-01-28 19:39:39.688080,2024-01-28 19:40:16.742081,0 days 00:00:37.054001,0.5220056594793188,26.853317657938003,23,2050,67.33415935031361,91.8848367688676,0.4481372552579731,COMPLETE
1,0.5693719108603578,2024-01-28 19:39:39.690081,2024-01-28 19:40:25.291287,0 days 00:00:45.601206,0.7863967118296455,20.401804477092345,15,4200,9.956305044221702,26.22725690622022,0.19548094405753635,COMPLETE
2,0.5,2024-01-28 19:39:39.692083,2024-01-28 19:40:23.866565,0 days 00:00:44.174482,0.25589874999097406,27.952436804847423,18,4100,55.7580010656354,47.114054882289025,0.8197838197849769,COMPLETE
3,0.5,2024-01-28 19:39:39.695083,2024-01-28 19:40:29.059800,0 days 00:00:49.364717,0.8295715202896617,47.628542299889496,22,4000,92.52311894677919,98.99942687799403,0.5160490599874714,COMPLETE
4,0.5,2024-01-28 19:39:39.697080,2024-01-28 19:40:14.911940,0 days 00:00:35.214860,0.15977992413142772,33.13368811616103,12,900,38.64590618677345,9.429295173446771,0.5003101868338109,COMPLETE
5,0.6825184020469439,2024-01-28 19:39:39.699080,2024-01-28 19:40:24.351117,0 days 00:00:44.652037,0.8384322876754022,2.862111112171506,17,3300,10.211122625972003,80.75174456075185,0.7839909512472043,COMPLETE
6,0.5,2024-01-28 19:39:39.701080,2024-01-28 19:40:18.087142,0 days 00:00:38.386062,0.40375863206624485,54.28423040816348,8,750,4.030262733834677,95.60181482221871,0.5393034882310541,COMPLETE
7,0.5,2024-01-28 19:39:39.707083,2024-01-28 19:40:29.579799,0 days 00:00:49.872716,0.7131618921982714,27.826756382689,14,3750,79.94822470354748,94.86368789303927,0.20331071803846879,COMPLETE
8,0.5,2024-01-28 19:39:39.710080,2024-01-28 19:40:15.076939,0 days 00:00:35.366859,0.859670594624356,56.57418847141826,17,200,98.65414911667825,72.68089221769856,0.813266023435035,COMPLETE
9,0.5,2024-01-28 19:39:39.715081,2024-01-28 19:40:31.536580,0 days 00:00:51.821499,0.709060461641604,29.067440560453218,11,4350,98.62957630121166,97.81673735407892,0.6283475405848613,COMPLETE
10,0.5,2024-01-28 19:39:39.719081,2024-01-28 19:40:30.514388,0 days 00:00:50.795307,0.18459238179955328,93.73244380529482,11,3050,65.65666210423352,33.70611985246577,0.052166944130953685,COMPLETE
11,0.5,2024-01-28 19:39:39.722082,2024-01-28 19:40:27.818576,0 days 00:00:48.096494,0.30421639051271665,97.49741684635273,15,2700,42.36189099964314,14.16606469182059,0.7059325007721763,COMPLETE
12,0.5,2024-01-28 19:39:39.726081,2024-01-28 19:40:24.949252,0 days 00:00:45.223171,0.2644208678625366,16.701770418034158,20,1450,8.642384715699103,58.56680120314205,0.15400305576794027,COMPLETE
13,0.5,2024-01-28 19:39:39.728084,2024-01-28 19:40:21.669427,0 days 00:00:41.941343,0.29639689747417397,45.05000462620087,9,650,99.81402859352754,80.6430615722528,0.9648846318833079,COMPLETE
14,0.5,2024-01-28 19:39:39.730080,2024-01-28 19:40:30.016800,0 days 00:00:50.286720,0.6912437505332191,82.35209212624683,24,2200,3.6731902207791434,42.61931665793184,0.7541589512841365,COMPLETE
15,0.5290614236400423,2024-01-28 19:39:39.731083,2024-01-28 19:40:29.808800,0 days 00:00:50.077717,0.19763860140392642,27.61781847253869,24,3450,44.101275252880356,10.374240861118977,0.7175206444284213,COMPLETE
16,0.5,2024-01-28 19:40:15.072941,2024-01-28 19:40:39.074671,0 days 00:00:24.001730,0.2551726343074425,86.53449154724193,9,4250,44.24185347681322,46.15915234663358,0.48664045035542725,COMPLETE
17,0.5,2024-01-28 19:40:15.219940,2024-01-28 19:40:27.401992,0 days 00:00:12.182052,0.8134742168022807,83.14042010699791,18,250,74.71330526963463,40.3500152591736,0.40055952531900785,COMPLETE
18,0.5,2024-01-28 19:40:16.857591,2024-01-28 19:40:43.031902,0 days 00:00:26.174311,0.04565550378880501,79.94403729325656,16,3650,40.15179252609838,65.23855494769471,0.2484244204862346,COMPLETE
19,0.5,2024-01-28 19:40:18.212142,2024-01-28 19:40:48.782481,0 days 00:00:30.570339,0.4327025193775337,13.03455412579293,14,4950,75.04153458151626,73.09253869117542,0.34190000832177503,COMPLETE
