number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_batch_size,params_layer_size_0,params_layer_size_1,params_layer_size_2,params_layer_size_3,params_layer_size_4,params_layer_size_5,params_layer_size_6,params_layer_size_7,params_layer_size_8,params_layer_size_9,params_learning_rate,params_learning_rate_init,params_num_hiddenlayers,params_solver,state
0,0.5333031133937475,2024-01-28 22:15:12.915723,2024-01-28 22:15:18.681639,0 days 00:00:05.765916,logistic,1.0081246850154546,64,75,145,160.0,,,,,,,,constant,1.734548378299434e-05,3,adam,COMPLETE
1,0.5,2024-01-28 22:15:12.918722,2024-01-28 22:15:25.089214,0 days 00:00:12.170492,relu,55.495041895530065,32,140,75,85.0,10.0,150.0,,,,,,invscaling,0.22154609877697137,5,lbfgs,COMPLETE
2,0.5,2024-01-28 22:15:12.920725,2024-01-28 22:15:43.334958,0 days 00:00:30.414233,relu,91.22201445382728,auto,75,115,140.0,165.0,30.0,120.0,135.0,60.0,25.0,,constant,0.5053250362461625,9,lbfgs,COMPLETE
3,0.6098694531983014,2024-01-28 22:15:12.922722,2024-01-28 22:19:40.824609,0 days 00:04:27.901887,relu,61.886910901472646,auto,70,180,130.0,30.0,,,,,,,constant,0.014410708663329212,4,lbfgs,COMPLETE
4,0.49601663102031396,2024-01-28 22:15:12.926725,2024-01-28 22:15:33.720312,0 days 00:00:20.793587,logistic,58.984467406609156,auto,170,125,195.0,30.0,,,,,,,adaptive,8.894188691875567e-05,4,lbfgs,COMPLETE
5,0.5377064456296979,2024-01-28 22:15:12.928723,2024-01-28 22:17:58.317378,0 days 00:02:45.388655,tanh,49.545968573200696,32,30,90,140.0,65.0,95.0,175.0,35.0,85.0,95.0,40.0,constant,0.0027246956775153013,10,lbfgs,COMPLETE
6,0.48435596363393374,2024-01-28 22:15:12.930723,2024-01-28 22:16:31.265554,0 days 00:01:18.334831,tanh,80.12366232295624,64,195,20,150.0,40.0,45.0,110.0,125.0,20.0,,,adaptive,0.002050310901669439,8,adam,COMPLETE
7,0.48859828017481116,2024-01-28 22:15:12.932722,2024-01-28 22:15:54.807305,0 days 00:00:41.874583,logistic,62.17653169622038,auto,145,10,80.0,80.0,35.0,180.0,200.0,180.0,40.0,105.0,constant,0.00023000314795656375,10,sgd,COMPLETE
8,0.48828400118416726,2024-01-28 22:15:12.935918,2024-01-28 22:15:33.129250,0 days 00:00:20.193332,relu,84.99406804604075,128,125,200,,,,,,,,,invscaling,0.11208072811599724,2,adam,COMPLETE
9,0.6881526210134232,2024-01-28 22:15:12.937724,2024-01-28 22:15:42.415894,0 days 00:00:29.478170,tanh,74.55465849112456,auto,50,25,,,,,,,,,constant,1.7934716413754348e-05,2,lbfgs,COMPLETE
10,0.5634662809248343,2024-01-28 22:15:12.944722,2024-01-28 22:17:08.740966,0 days 00:01:55.796244,relu,2.800739362345317,128,50,190,50.0,165.0,190.0,170.0,155.0,35.0,60.0,40.0,adaptive,0.016495721392210935,10,sgd,COMPLETE
11,0.6877987340106924,2024-01-28 22:15:12.946723,2024-01-28 22:16:46.800237,0 days 00:01:33.853514,tanh,58.25043590753839,auto,170,55,40.0,35.0,55.0,75.0,,,,,adaptive,0.0014293789947376894,6,lbfgs,COMPLETE
12,0.6452720007766946,2024-01-28 22:15:12.949724,2024-01-28 22:18:43.214604,0 days 00:03:30.264880,tanh,43.13466916697737,auto,155,55,,,,,,,,,constant,0.009902737160141296,2,lbfgs,COMPLETE
13,0.6609377058413335,2024-01-28 22:15:12.952158,2024-01-28 22:16:33.054795,0 days 00:01:20.102637,logistic,39.463422608976416,128,50,65,,,,,,,,,constant,0.006602659987128292,2,lbfgs,COMPLETE
14,0.5202786080627246,2024-01-28 22:15:12.954721,2024-01-28 22:16:30.415478,0 days 00:01:17.460757,relu,62.24779499461478,auto,50,120,55.0,185.0,55.0,190.0,140.0,90.0,175.0,,constant,4.682643568847491e-05,9,sgd,COMPLETE
15,0.5,2024-01-28 22:15:12.960723,2024-01-28 22:16:46.057233,0 days 00:01:33.096510,relu,84.65595993467579,128,200,155,90.0,50.0,70.0,15.0,,,,,adaptive,0.0014299861763845023,6,lbfgs,COMPLETE
16,0.5008558718861209,2024-01-28 22:15:19.215780,2024-01-28 22:16:57.896712,0 days 00:01:38.680932,tanh,2.5060440167441356,32,75,75,125.0,25.0,80.0,165.0,150.0,,,,invscaling,0.007030160432866973,7,adam,COMPLETE
17,0.5861340665319908,2024-01-28 22:15:25.856112,2024-01-28 22:23:49.116437,0 days 00:08:23.260325,tanh,1.368967495596296,auto,60,95,140.0,20.0,70.0,80.0,70.0,,,,invscaling,0.10179597436725912,7,lbfgs,COMPLETE
18,0.5,2024-01-28 22:15:33.703247,2024-01-28 22:17:45.062822,0 days 00:02:11.359575,logistic,18.781116099252337,128,75,185,125.0,65.0,180.0,110.0,135.0,10.0,175.0,60.0,adaptive,0.36323345226211134,10,lbfgs,COMPLETE
19,0.4760351946413297,2024-01-28 22:15:34.334050,2024-01-28 22:17:46.247941,0 days 00:02:11.913891,tanh,15.400714368789558,128,115,140,165.0,10.0,120.0,20.0,190.0,190.0,25.0,185.0,invscaling,0.47346287909729007,10,adam,COMPLETE
20,0.5358927455907303,2024-01-28 22:15:43.149962,2024-01-28 22:17:56.890205,0 days 00:02:13.740243,logistic,32.36023747915935,64,60,60,115.0,90.0,200.0,55.0,180.0,,,,invscaling,0.31425932325422407,7,adam,COMPLETE
21,0.49982206405693946,2024-01-28 22:15:44.005527,2024-01-28 22:18:24.710622,0 days 00:02:40.705095,logistic,45.286667444567556,64,130,185,175.0,145.0,140.0,,,,,,constant,0.8269753935270656,5,lbfgs,COMPLETE
22,0.6062798808139792,2024-01-28 22:15:55.407295,2024-01-28 22:19:45.698813,0 days 00:03:50.291518,tanh,71.6953261812471,auto,135,20,195.0,75.0,45.0,145.0,195.0,,,,invscaling,0.957971024563425,7,lbfgs,COMPLETE
23,0.6337335893065277,2024-01-28 22:16:31.054477,2024-01-28 22:18:29.165856,0 days 00:01:58.111379,relu,16.0607170899281,128,30,65,,,,,,,,,invscaling,0.022592800905757916,2,sgd,COMPLETE
24,0.5334799914745206,2024-01-28 22:16:31.925304,2024-01-28 22:19:14.817083,0 days 00:02:42.891779,tanh,87.82009110953528,64,165,125,35.0,140.0,150.0,190.0,90.0,,,,constant,3.291675961901722e-05,7,adam,COMPLETE
25,0.5883028618950338,2024-01-28 22:16:33.745501,2024-01-28 22:24:05.845393,0 days 00:07:32.099892,tanh,30.247081752384922,32,10,50,10.0,130.0,200.0,15.0,,,,,invscaling,0.001163914073089782,6,lbfgs,COMPLETE
26,0.6127412981516243,2024-01-28 22:16:46.715240,2024-01-28 22:20:38.249003,0 days 00:03:51.533763,tanh,30.97278698968018,128,15,60,,,,,,,,,constant,0.0198282679909195,2,lbfgs,COMPLETE
27,0.576160408591028,2024-01-28 22:16:47.302371,2024-01-28 22:25:03.538263,0 days 00:08:16.235892,tanh,36.02916985535914,auto,15,45,15.0,120.0,115.0,40.0,10.0,,,,adaptive,0.016179425122447855,7,lbfgs,COMPLETE
28,0.5734115159201736,2024-01-28 22:16:58.493883,2024-01-28 22:27:30.370852,0 days 00:10:31.876969,tanh,37.45239769153966,auto,25,40,15.0,120.0,140.0,,,,,,adaptive,0.0004526756609723144,5,lbfgs,COMPLETE
