number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_n_estimators,state
0,0.6492955600560325,2024-01-28 20:31:55.949272,2024-01-28 20:35:27.699203,0 days 00:03:31.749931,False,gini,24,0.7,35,2100,COMPLETE
1,0.673208839112975,2024-01-28 20:31:55.951272,2024-01-28 20:44:33.012869,0 days 00:12:37.061597,True,gini,9,0.3,5,3850,COMPLETE
2,0.6504347978797939,2024-01-28 20:31:55.953272,2024-01-28 20:43:23.813624,0 days 00:11:27.860352,False,gini,24,0.7,25,800,COMPLETE
3,0.6684381208401152,2024-01-28 20:31:55.956275,2024-01-28 20:40:54.512685,0 days 00:08:58.556410,False,entropy,24,0.1,40,4800,COMPLETE
4,0.6457153597449972,2024-01-28 20:31:55.958274,2024-01-28 20:36:04.188368,0 days 00:04:08.230094,False,entropy,13,0.7,5,400,COMPLETE
5,0.6669630574637682,2024-01-28 20:31:55.961275,2024-01-28 20:36:09.081132,0 days 00:04:13.119857,False,entropy,8,0.1,50,450,COMPLETE
6,0.6698212500526584,2024-01-28 20:31:55.964272,2024-01-28 20:43:12.223688,0 days 00:11:16.259416,True,entropy,22,0.7,20,50,COMPLETE
7,0.6215481561248394,2024-01-28 20:31:55.965271,2024-01-28 20:51:30.627128,0 days 00:19:34.661857,False,entropy,11,0.9,50,4200,COMPLETE
8,0.6497577077417025,2024-01-28 20:31:55.966271,2024-01-28 20:46:08.640655,0 days 00:14:12.674384,False,entropy,19,0.7,10,2100,COMPLETE
9,0.6718125855140317,2024-01-28 20:31:55.969271,2024-01-28 20:38:00.456182,0 days 00:06:04.486911,True,entropy,19,0.5,35,1350,COMPLETE
10,0.6533654350581701,2024-01-28 20:31:55.973272,2024-01-28 20:40:32.644674,0 days 00:08:36.671402,False,gini,5,0.5,40,2850,COMPLETE
11,0.6693090028210662,2024-01-28 20:31:55.976271,2024-01-28 20:44:50.826580,0 days 00:12:54.850309,False,gini,23,sqrt,30,3450,COMPLETE
12,0.6712623653738573,2024-01-28 20:31:55.980273,2024-01-28 20:44:18.536388,0 days 00:12:22.556115,True,gini,13,0.5,30,1450,COMPLETE
13,0.6491645628342286,2024-01-28 20:31:55.982271,2024-01-28 20:44:04.584962,0 days 00:12:08.602691,False,gini,8,0.7,10,4200,COMPLETE
14,0.6674601732548627,2024-01-28 20:31:55.986272,2024-01-28 20:45:56.605549,0 days 00:14:00.619277,False,gini,16,0.3,15,3200,COMPLETE
15,0.6683399874483582,2024-01-28 20:31:55.988272,2024-01-28 20:44:07.386230,0 days 00:12:11.397958,False,gini,17,sqrt,40,1550,COMPLETE
16,0.6683777138017486,2024-01-28 20:35:28.377201,2024-01-28 20:45:51.698837,0 days 00:10:23.321636,False,gini,9,sqrt,40,4350,COMPLETE
17,0.6695987774456629,2024-01-28 20:36:04.854368,2024-01-28 20:46:12.898989,0 days 00:10:08.044621,True,gini,6,0.3,40,2600,COMPLETE
18,0.6147766488381909,2024-01-28 20:36:09.773674,2024-01-28 20:53:19.959043,0 days 00:17:10.185369,False,gini,20,0.9,10,2900,COMPLETE
19,0.6679563802526087,2024-01-28 20:38:00.877756,2024-01-28 20:46:26.951754,0 days 00:08:26.073998,False,gini,9,0.1,20,150,COMPLETE
