number,value,datetime_start,datetime_complete,duration,params_C,params_degree,params_gamma,params_kernel,params_shrinking,state
0,0.5320258499017647,2024-01-28 22:14:07.695589,2024-01-28 22:14:11.655308,0 days 00:00:03.959719,257.1903936354306,3,auto,rbf,True,COMPLETE
1,0.5179393924602922,2024-01-28 22:14:07.697589,2024-01-28 22:14:11.987904,0 days 00:00:04.290315,645.9731008499816,3,2.5,rbf,False,COMPLETE
2,0.5367656951641486,2024-01-28 22:14:07.699590,2024-01-28 22:14:14.706982,0 days 00:00:07.007392,355.5873558324105,12,1.5,rbf,True,COMPLETE
3,0.5667917693515274,2024-01-28 22:14:07.701590,2024-01-28 22:14:11.355682,0 days 00:00:03.654092,477.7058665508459,12,scale,rbf,False,COMPLETE
4,0.5397899232505956,2024-01-28 22:14:07.702591,2024-01-28 22:14:17.722482,0 days 00:00:10.019891,123.8611953049502,9,2.5,poly,False,COMPLETE
5,0.5422970495708382,2024-01-28 22:14:07.704589,2024-01-28 22:14:21.171542,0 days 00:00:13.466953,914.0493586585961,5,0.5,rbf,False,COMPLETE
6,0.5509641097458079,2024-01-28 22:14:07.706589,2024-01-28 22:14:13.991217,0 days 00:00:06.284628,510.13232049590005,5,1.5,poly,False,COMPLETE
7,0.5179393924602922,2024-01-28 22:14:07.709589,2024-01-28 22:14:19.778073,0 days 00:00:12.068484,511.76132432469194,9,2.5,rbf,True,COMPLETE
8,0.5703379639699034,2024-01-28 22:14:07.711589,2024-01-28 22:14:19.923632,0 days 00:00:12.212043,379.20401356517044,3,auto,poly,True,COMPLETE
9,0.5377568706254675,2024-01-28 22:14:07.713589,2024-01-28 22:14:18.715849,0 days 00:00:11.002260,962.4351103753854,7,1.5,poly,False,COMPLETE
10,0.4859668425801161,2024-01-28 22:14:07.717589,2024-01-28 22:14:17.336877,0 days 00:00:09.619288,585.2513561651016,12,2.5,poly,False,COMPLETE
11,0.5667917693515274,2024-01-28 22:14:07.721589,2024-01-28 22:14:20.468866,0 days 00:00:12.747277,517.0144643129173,5,scale,rbf,True,COMPLETE
12,0.5377568706254675,2024-01-28 22:14:07.723588,2024-01-28 22:14:18.053189,0 days 00:00:10.329601,169.6262189774529,7,1.5,poly,False,COMPLETE
13,0.5432010924875061,2024-01-28 22:14:07.725589,2024-01-28 22:14:19.463934,0 days 00:00:11.738345,303.7318326882954,9,scale,poly,False,COMPLETE
14,0.5422970495708382,2024-01-28 22:14:07.728589,2024-01-28 22:14:21.528538,0 days 00:00:13.799949,635.6422011075008,5,0.5,rbf,True,COMPLETE
15,0.556980374633066,2024-01-28 22:14:07.730589,2024-01-28 22:14:19.144838,0 days 00:00:11.414249,944.6796283392488,9,auto,poly,True,COMPLETE
16,0.5746269166924481,2024-01-28 22:14:11.647304,2024-01-28 22:14:20.142715,0 days 00:00:08.495411,172.11575393828872,5,auto,poly,False,COMPLETE
17,0.5488677417964783,2024-01-28 22:14:11.948905,2024-01-28 22:14:20.463864,0 days 00:00:08.514959,776.215036681822,9,scale,poly,True,COMPLETE
18,0.5422970495708382,2024-01-28 22:14:12.339510,2024-01-28 22:14:23.566354,0 days 00:00:11.226844,179.16667700383422,9,0.5,rbf,True,COMPLETE
19,0.5549540440706837,2024-01-28 22:14:14.331738,2024-01-28 22:14:21.915541,0 days 00:00:07.583803,425.551510607302,3,auto,poly,True,COMPLETE
20,0.5422970495708382,2024-01-28 22:14:15.078972,2024-01-28 22:14:23.979422,0 days 00:00:08.900450,613.6034623653974,9,0.5,rbf,False,COMPLETE
21,0.5179393924602922,2024-01-28 22:14:17.706484,2024-01-28 22:14:25.540127,0 days 00:00:07.833643,704.4805195426724,3,2.5,rbf,True,COMPLETE
22,0.5621410035034781,2024-01-28 22:14:18.035181,2024-01-28 22:14:24.763034,0 days 00:00:06.727853,977.6213887911706,3,auto,poly,True,COMPLETE
23,0.4859668425801161,2024-01-28 22:14:18.346960,2024-01-28 22:14:25.186029,0 days 00:00:06.839069,794.4041000953223,12,2.5,poly,False,COMPLETE
24,0.4925760596447235,2024-01-28 22:14:19.134839,2024-01-28 22:14:26.667068,0 days 00:00:07.532229,837.1083281581555,12,auto,poly,False,COMPLETE
25,0.5667917693515274,2024-01-28 22:14:19.436926,2024-01-28 22:14:28.570123,0 days 00:00:09.133197,759.1187106204039,12,scale,rbf,True,COMPLETE
26,0.5320258499017647,2024-01-28 22:14:19.753074,2024-01-28 22:14:28.969355,0 days 00:00:09.216281,863.1137354693323,9,auto,rbf,True,COMPLETE
27,0.5422970495708382,2024-01-28 22:14:19.920630,2024-01-28 22:14:30.055768,0 days 00:00:10.135138,818.3100959652354,3,0.5,rbf,True,COMPLETE
28,0.5422970495708382,2024-01-28 22:14:20.065631,2024-01-28 22:14:31.460252,0 days 00:00:11.394621,763.4290817507799,3,0.5,rbf,True,COMPLETE
29,0.5777934854852895,2024-01-28 22:14:20.449866,2024-01-28 22:14:31.000631,0 days 00:00:10.550765,2.748679199469848,5,auto,poly,True,COMPLETE
30,0.5781520811294124,2024-01-28 22:14:21.119543,2024-01-28 22:14:31.812250,0 days 00:00:10.692707,16.596843491158864,5,auto,poly,True,COMPLETE
31,0.5523088883686459,2024-01-28 22:14:21.131549,2024-01-28 22:14:32.220394,0 days 00:00:11.088845,10.512670441529366,5,0.5,poly,True,COMPLETE
32,0.5667117270077704,2024-01-28 22:14:21.492543,2024-01-28 22:14:32.629015,0 days 00:00:11.136472,53.51309119478111,3,auto,poly,True,COMPLETE
33,0.5695913362270258,2024-01-28 22:14:21.867540,2024-01-28 22:14:32.972637,0 days 00:00:11.105097,96.01021913581566,3,auto,poly,True,COMPLETE
34,0.5869235972115752,2024-01-28 22:14:22.359249,2024-01-28 22:14:34.380474,0 days 00:00:12.021225,7.360782171201777,3,auto,poly,True,COMPLETE
35,0.5744383671619728,2024-01-28 22:14:23.938412,2024-01-28 22:14:34.907023,0 days 00:00:10.968611,10.515218425158963,3,auto,poly,True,COMPLETE
36,0.49057890402861604,2024-01-28 22:14:24.283247,2024-01-28 22:14:35.838660,0 days 00:00:11.555413,10.67957802236765,12,auto,poly,False,COMPLETE
37,0.489045047456308,2024-01-28 22:14:24.962036,2024-01-28 22:14:37.553334,0 days 00:00:12.591298,27.621339402674494,12,auto,poly,False,COMPLETE
38,0.49047680560399554,2024-01-28 22:14:25.502120,2024-01-28 22:14:38.202111,0 days 00:00:12.699991,13.858639486974539,12,auto,poly,False,COMPLETE
39,0.48975946389821845,2024-01-28 22:14:26.024284,2024-01-28 22:14:39.035837,0 days 00:00:13.011553,401.1179010366857,12,auto,poly,False,COMPLETE
40,0.5012817236126386,2024-01-28 22:14:27.117600,2024-01-28 22:14:39.424325,0 days 00:00:12.306725,63.281525277234906,12,scale,poly,False,COMPLETE
41,0.5764915356937867,2024-01-28 22:14:28.956361,2024-01-28 22:14:41.351467,0 days 00:00:12.395106,6.000084492947906,5,auto,poly,False,COMPLETE
42,0.5752899976723526,2024-01-28 22:14:29.365910,2024-01-28 22:14:40.953865,0 days 00:00:11.587955,27.927543524593034,5,auto,poly,False,COMPLETE
43,0.5775456940412969,2024-01-28 22:14:30.438914,2024-01-28 22:14:41.745110,0 days 00:00:11.306196,38.30939882236416,5,auto,poly,False,COMPLETE
44,0.5793324205139805,2024-01-28 22:14:31.308715,2024-01-28 22:14:42.326793,0 days 00:00:11.018078,51.55497595898429,5,auto,poly,True,COMPLETE
45,0.5695666891474316,2024-01-28 22:14:31.774257,2024-01-28 22:14:43.091117,0 days 00:00:11.316860,15.573484734297097,5,auto,poly,True,COMPLETE
46,0.572275038468115,2024-01-28 22:14:32.192862,2024-01-28 22:14:43.641107,0 days 00:00:11.448245,9.442126720307272,5,auto,poly,True,COMPLETE
47,0.5746894739453532,2024-01-28 22:14:32.563015,2024-01-28 22:14:45.264061,0 days 00:00:12.701046,0.05251077979053642,5,auto,poly,True,COMPLETE
48,0.5769699770617416,2024-01-28 22:14:32.936658,2024-01-28 22:14:45.635064,0 days 00:00:12.698406,72.36463909093482,5,auto,poly,True,COMPLETE
49,0.5680613172712689,2024-01-28 22:14:33.345539,2024-01-28 22:14:46.083087,0 days 00:00:12.737548,230.29202393115898,5,auto,poly,True,COMPLETE
50,0.5702899958452269,2024-01-28 22:14:34.866011,2024-01-28 22:14:46.425061,0 days 00:00:11.559050,239.9579336873448,5,auto,poly,True,COMPLETE
51,0.5626792431447311,2024-01-28 22:14:35.282016,2024-01-28 22:14:46.711602,0 days 00:00:11.429586,205.53297171155532,5,auto,poly,True,COMPLETE
52,0.5636305278007776,2024-01-28 22:14:36.371573,2024-01-28 22:14:47.087596,0 days 00:00:10.716023,235.14038411369629,5,auto,poly,True,COMPLETE
53,0.5642340789920391,2024-01-28 22:14:37.982111,2024-01-28 22:14:48.116688,0 days 00:00:10.134577,207.51549975185168,5,auto,poly,True,COMPLETE
54,0.560197132346752,2024-01-28 22:14:38.579663,2024-01-28 22:14:48.526691,0 days 00:00:09.947028,227.99370039472302,5,auto,poly,True,COMPLETE
55,0.5572878850325358,2024-01-28 22:14:39.388269,2024-01-28 22:14:48.905234,0 days 00:00:09.516965,231.08784721594773,5,auto,poly,True,COMPLETE
56,0.5644649389721819,2024-01-28 22:14:39.849527,2024-01-28 22:14:49.355331,0 days 00:00:09.505804,221.47872004659797,5,auto,poly,True,COMPLETE
57,0.5661947356758918,2024-01-28 22:14:41.337474,2024-01-28 22:14:51.192954,0 days 00:00:09.855480,151.00860058252454,5,auto,poly,True,COMPLETE
58,0.566838065675947,2024-01-28 22:14:41.683022,2024-01-28 22:14:50.052321,0 days 00:00:08.369299,245.75199483590544,5,auto,poly,True,COMPLETE
59,0.5733154691297144,2024-01-28 22:14:42.129716,2024-01-28 22:14:50.656333,0 days 00:00:08.526617,122.23802804791744,5,auto,poly,True,COMPLETE
60,0.5509641097458079,2024-01-28 22:14:42.792100,2024-01-28 22:14:51.527493,0 days 00:00:08.735393,116.73294161470093,5,1.5,poly,True,COMPLETE
61,0.5509641097458079,2024-01-28 22:14:43.393091,2024-01-28 22:14:52.022130,0 days 00:00:08.629039,232.11322471212304,5,1.5,poly,True,COMPLETE
62,0.5509641097458079,2024-01-28 22:14:44.084983,2024-01-28 22:14:52.456691,0 days 00:00:08.371708,112.02586110659763,5,1.5,poly,True,COMPLETE
63,0.5640751798836908,2024-01-28 22:14:45.619068,2024-01-28 22:14:53.717755,0 days 00:00:08.098687,123.34195683858556,7,auto,poly,True,COMPLETE
64,0.5377568706254675,2024-01-28 22:14:45.928063,2024-01-28 22:14:53.344671,0 days 00:00:07.416608,241.08473585245608,7,1.5,poly,True,COMPLETE
65,0.5377568706254675,2024-01-28 22:14:46.365072,2024-01-28 22:14:54.099764,0 days 00:00:07.734692,133.35979190196556,7,1.5,poly,True,COMPLETE
66,0.5377568706254675,2024-01-28 22:14:46.661600,2024-01-28 22:14:54.355751,0 days 00:00:07.694151,126.61105028088483,7,1.5,poly,True,COMPLETE
67,0.5377568706254675,2024-01-28 22:14:47.092591,2024-01-28 22:14:54.710826,0 days 00:00:07.618235,96.4879280511189,7,1.5,poly,True,COMPLETE
68,0.5377568706254675,2024-01-28 22:14:47.500593,2024-01-28 22:14:55.117826,0 days 00:00:07.617233,116.5729633268553,7,1.5,poly,True,COMPLETE
69,0.5377568706254675,2024-01-28 22:14:48.481677,2024-01-28 22:14:55.565820,0 days 00:00:07.084143,128.94115161661517,7,1.5,poly,True,COMPLETE
70,0.5377568706254675,2024-01-28 22:14:48.851234,2024-01-28 22:14:55.815940,0 days 00:00:06.964706,133.3022999206231,7,1.5,poly,True,COMPLETE
71,0.5377568706254675,2024-01-28 22:14:49.281239,2024-01-28 22:14:56.198037,0 days 00:00:06.916798,113.87309009854742,7,1.5,poly,True,COMPLETE
72,0.5509641097458079,2024-01-28 22:14:49.728330,2024-01-28 22:14:56.898934,0 days 00:00:07.170604,108.28998776301637,5,1.5,poly,True,COMPLETE
73,0.5509641097458079,2024-01-28 22:14:50.413328,2024-01-28 22:14:57.234676,0 days 00:00:06.821348,130.35064028190556,5,1.5,poly,True,COMPLETE
74,0.5377568706254675,2024-01-28 22:14:51.036957,2024-01-28 22:14:57.536212,0 days 00:00:06.499255,85.41764768210757,7,1.5,poly,True,COMPLETE
75,0.5377568706254675,2024-01-28 22:14:51.479495,2024-01-28 22:14:57.816308,0 days 00:00:06.336813,305.38725550037975,7,1.5,poly,True,COMPLETE
76,0.5377568706254675,2024-01-28 22:14:51.825140,2024-01-28 22:14:58.032072,0 days 00:00:06.206932,74.57803333416368,7,1.5,poly,False,COMPLETE
77,0.5486876614722351,2024-01-28 22:14:52.376669,2024-01-28 22:14:58.362606,0 days 00:00:05.985937,72.71391987028906,7,2.5,poly,False,COMPLETE
78,0.5486876614722351,2024-01-28 22:14:52.824676,2024-01-28 22:14:58.831626,0 days 00:00:06.006950,80.60201886745263,7,2.5,poly,False,COMPLETE
79,0.5486876614722351,2024-01-28 22:14:53.680670,2024-01-28 22:14:59.231614,0 days 00:00:05.550944,78.54594395880993,7,2.5,poly,False,COMPLETE
80,0.5515914737202137,2024-01-28 22:14:54.062754,2024-01-28 22:14:59.896353,0 days 00:00:05.833599,64.81616622732733,5,2.5,poly,False,COMPLETE
81,0.5515914737202137,2024-01-28 22:14:54.274755,2024-01-28 22:15:00.898952,0 days 00:00:06.624197,78.9870621659593,5,2.5,poly,False,COMPLETE
82,0.5515914737202137,2024-01-28 22:14:54.677765,2024-01-28 22:15:00.453418,0 days 00:00:05.775653,75.77543904919187,5,2.5,poly,False,COMPLETE
83,0.5515914737202137,2024-01-28 22:14:55.102829,2024-01-28 22:15:01.263958,0 days 00:00:06.161129,63.397391204960314,5,2.5,poly,False,COMPLETE
84,0.5515914737202137,2024-01-28 22:14:55.497821,2024-01-28 22:15:01.681955,0 days 00:00:06.184134,63.86734136945694,5,2.5,poly,False,COMPLETE
85,0.5511663245116697,2024-01-28 22:14:55.739821,2024-01-28 22:15:03.701873,0 days 00:00:07.962052,64.46026231112981,5,scale,rbf,False,COMPLETE
86,0.5749767687925535,2024-01-28 22:14:56.173029,2024-01-28 22:15:03.093194,0 days 00:00:06.920165,58.604770222098644,5,auto,poly,False,COMPLETE
87,0.5515914737202137,2024-01-28 22:14:56.581194,2024-01-28 22:15:03.377403,0 days 00:00:06.796209,58.600947638310856,5,2.5,poly,False,COMPLETE
88,0.5515914737202137,2024-01-28 22:14:57.204144,2024-01-28 22:15:04.174116,0 days 00:00:06.969972,65.91724301488921,5,2.5,poly,False,COMPLETE
89,0.5179393924602922,2024-01-28 22:14:57.499223,2024-01-28 22:15:06.636706,0 days 00:00:09.137483,54.79734508177148,5,2.5,rbf,False,COMPLETE
90,0.5179393924602922,2024-01-28 22:14:57.775302,2024-01-28 22:15:06.932703,0 days 00:00:09.157401,51.78462953243011,5,2.5,rbf,False,COMPLETE
91,0.5179393924602922,2024-01-28 22:14:57.964538,2024-01-28 22:15:07.413706,0 days 00:00:09.449168,49.14396275017665,5,2.5,rbf,False,COMPLETE
92,0.5179393924602922,2024-01-28 22:14:58.311604,2024-01-28 22:15:09.084512,0 days 00:00:10.772908,48.6279466797028,5,2.5,rbf,False,COMPLETE
93,0.5552522020305585,2024-01-28 22:14:58.630608,2024-01-28 22:15:09.386655,0 days 00:00:10.756047,37.64239470324438,5,auto,rbf,False,COMPLETE
94,0.5397942313876121,2024-01-28 22:14:59.192607,2024-01-28 22:15:09.837196,0 days 00:00:10.644589,43.15423939372046,5,auto,rbf,False,COMPLETE
95,0.5255355964428852,2024-01-28 22:14:59.610606,2024-01-28 22:15:11.516473,0 days 00:00:11.905867,51.741412741787904,5,auto,rbf,False,COMPLETE
