number,value,datetime_start,datetime_complete,duration,params_eta,params_gamma,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.5,2024-01-28 22:10:30.489683,2024-01-28 22:10:36.121170,0 days 00:00:05.631487,0.6225148317941105,95.81232370886703,7,2050,99.9120178786724,39.762852786542204,0.13326978905961895,COMPLETE
1,0.6522841885772657,2024-01-28 22:10:30.492685,2024-01-28 22:10:35.969092,0 days 00:00:05.476407,0.33718811556220896,5.313804821942647,9,2050,6.710773905284451,3.89513386408884,0.5841841293735798,COMPLETE
2,0.5,2024-01-28 22:10:30.494682,2024-01-28 22:10:36.263213,0 days 00:00:05.768531,0.2633788181806318,79.48039989024852,19,2150,34.330409774068436,25.60640847648312,0.12706649426926464,COMPLETE
3,0.5403262684037238,2024-01-28 22:10:30.496684,2024-01-28 22:10:43.809288,0 days 00:00:13.312604,0.1249798828350771,33.49688063720819,19,3650,56.620170991695865,69.64663295034717,0.8983000213108845,COMPLETE
4,0.5,2024-01-28 22:10:30.499684,2024-01-28 22:10:43.412119,0 days 00:00:12.912435,0.2262899088180771,42.145351440474386,6,3150,79.25849833143539,76.12537957918286,0.6139667883192232,COMPLETE
5,0.5,2024-01-28 22:10:30.503684,2024-01-28 22:10:52.443848,0 days 00:00:21.940164,0.7706866569710922,47.60615076564766,13,4650,58.07533092037587,24.23642664106831,0.678230799476347,COMPLETE
6,0.5,2024-01-28 22:10:30.504682,2024-01-28 22:10:36.484720,0 days 00:00:05.980038,0.9269695974967004,88.80586823895426,5,100,74.31948513621172,13.04221484651319,0.08059455056076814,COMPLETE
7,0.5,2024-01-28 22:10:30.505683,2024-01-28 22:10:37.410802,0 days 00:00:06.905119,0.7485873324865849,96.09595344357926,21,350,92.0968716863779,87.15189229306584,0.008123017215384998,COMPLETE
8,0.5,2024-01-28 22:10:30.507684,2024-01-28 22:10:52.847962,0 days 00:00:22.340278,0.0060209042761907305,7.1315726662554475,22,4400,21.862974668327595,77.89420251501883,0.044316874150214014,COMPLETE
9,0.5,2024-01-28 22:10:30.512685,2024-01-28 22:11:00.533652,0 days 00:00:30.020967,0.38597228290791963,17.843186522712674,8,3350,93.54340364602842,32.24029572958551,0.10114924635640732,COMPLETE
10,0.5,2024-01-28 22:10:30.514683,2024-01-28 22:10:54.918751,0 days 00:00:24.404068,0.3728010432585708,43.75714423550018,5,3050,29.836924266033215,88.87340697072514,0.020189233177611454,COMPLETE
11,0.5,2024-01-28 22:10:30.515481,2024-01-28 22:10:55.500339,0 days 00:00:24.984858,0.34794028926499354,36.15336056598275,17,2950,65.52488501520733,47.85227586570665,0.1409597079915753,COMPLETE
12,0.5,2024-01-28 22:10:30.516683,2024-01-28 22:10:58.044484,0 days 00:00:27.527801,0.8814941747013695,53.13833313349344,10,1750,59.067686296373154,70.60825742081445,0.2909407757047763,COMPLETE
13,0.5370851652008768,2024-01-28 22:10:30.518685,2024-01-28 22:10:51.757708,0 days 00:00:21.239023,0.4572815397780242,34.36714654058799,7,200,44.6835825673801,88.21634290296299,0.8215539726130346,COMPLETE
14,0.5,2024-01-28 22:10:30.520682,2024-01-28 22:10:56.485897,0 days 00:00:25.965215,0.5427503396580154,31.4670778103029,16,1350,87.08194634541282,56.503427809955156,0.6500618286650103,COMPLETE
15,0.5,2024-01-28 22:10:30.521683,2024-01-28 22:10:54.180714,0 days 00:00:23.659031,0.7662135436268807,50.14760605885118,24,200,68.37285051094725,22.334167458485165,0.19655451431280668,COMPLETE
16,0.6432818061813197,2024-01-28 22:10:36.118647,2024-01-28 22:11:06.086045,0 days 00:00:29.967398,0.10282217860087917,40.42870068802318,7,4800,1.0142358875485535,35.97445585017795,0.753960832318889,COMPLETE
17,0.5,2024-01-28 22:10:36.255213,2024-01-28 22:10:56.358897,0 days 00:00:20.103684,0.9690004643073821,47.260943703461,24,150,33.752753349435885,67.15811022027661,0.10286262237151189,COMPLETE
18,0.6311608478269092,2024-01-28 22:10:36.460251,2024-01-28 22:11:01.482889,0 days 00:00:25.022638,0.8785254827617605,20.318441899359417,4,2000,4.773875672622863,71.9156116997695,0.2657189154849915,COMPLETE
19,0.5,2024-01-28 22:10:36.610249,2024-01-28 22:11:04.290977,0 days 00:00:27.680728,0.9186765481969138,81.24272512503448,11,2550,22.777883593080027,11.409534007374166,0.18612700904631763,COMPLETE
20,0.5,2024-01-28 22:10:37.548355,2024-01-28 22:11:02.885976,0 days 00:00:25.337621,0.04946801845199489,69.95340562399531,5,650,97.53451518138867,40.912652689147365,0.019653740186427404,COMPLETE
21,0.5,2024-01-28 22:10:43.542151,2024-01-28 22:11:07.047130,0 days 00:00:23.504979,0.6916595387088733,32.00312120366704,9,2000,98.06793520882074,14.893972782439313,0.3284416228153789,COMPLETE
22,0.5,2024-01-28 22:10:43.930381,2024-01-28 22:11:07.802182,0 days 00:00:23.871801,0.8274132039703819,99.93695301613239,15,1550,16.921350569870764,25.606261742936088,0.12046313945761367,COMPLETE
23,0.5379439923323364,2024-01-28 22:10:51.907776,2024-01-28 22:11:14.129011,0 days 00:00:22.221235,0.2214898163021023,18.827609734752482,14,3450,76.73657853608876,29.513042044580818,0.7761375517287774,COMPLETE
24,0.5,2024-01-28 22:10:52.559882,2024-01-28 22:11:07.537139,0 days 00:00:14.977257,0.6587395481733056,60.67531249536948,10,300,55.213566425945096,1.8071661540657313,0.10988836157920512,COMPLETE
25,0.6177865911823293,2024-01-28 22:10:52.971962,2024-01-28 22:11:12.824010,0 days 00:00:19.852048,0.38044463022029734,0.7320443651603981,11,1350,1.7995403559003318,0.6115066902856015,0.3723409924602524,COMPLETE
26,0.6642767663358209,2024-01-28 22:10:54.310715,2024-01-28 22:11:17.556239,0 days 00:00:23.245524,0.21123104636562362,0.634143180171769,14,3100,7.228189931935479,55.166364451049574,0.9119552373714116,COMPLETE
27,0.6721608180589974,2024-01-28 22:10:55.042306,2024-01-28 22:11:17.952238,0 days 00:00:22.909932,0.010453267356950374,5.318682640255403,13,1350,2.129722745069188,58.83260715582023,0.9362010176115376,COMPLETE
28,0.6733489131473179,2024-01-28 22:10:55.635340,2024-01-28 22:11:18.976402,0 days 00:00:23.341062,0.06977681770065253,2.4474311967152573,11,1550,2.110398934028746,61.264306158464336,0.9166439414522347,COMPLETE
29,0.6639102948504747,2024-01-28 22:10:56.484896,2024-01-28 22:11:22.669975,0 days 00:00:26.185079,0.058695279699920166,2.382256034935408,11,1450,2.707532182895825,1.3415114823292948,0.970432828460101,COMPLETE
30,0.6714725781492122,2024-01-28 22:10:56.692898,2024-01-28 22:11:29.072959,0 days 00:00:32.380061,0.04098034762172176,3.527859114106647,11,4000,4.616145114797511,0.14769729528264408,0.9731528132947376,COMPLETE
31,0.6701284466887665,2024-01-28 22:10:58.171485,2024-01-28 22:11:31.243723,0 days 00:00:33.072238,0.043277560089489575,2.5942011546206922,13,3950,2.9871809502343254,4.884969159152419,0.9716612455671244,COMPLETE
32,0.6674164240267443,2024-01-28 22:11:00.674727,2024-01-28 22:11:39.338372,0 days 00:00:38.663645,0.05341496979680582,0.04622602571627965,12,3850,7.705894996423461,3.2609750107043283,0.9823164318160292,COMPLETE
33,0.6008575711723603,2024-01-28 22:11:01.641890,2024-01-28 22:11:33.988460,0 days 00:00:32.346570,0.5891874405090317,0.30702903581477514,10,1300,3.232883753799336,3.5622958040753456,0.37344606163141364,COMPLETE
34,0.6002009866289042,2024-01-28 22:11:03.053977,2024-01-28 22:11:34.430627,0 days 00:00:31.376650,0.6277348792087281,3.026347495259312,11,1150,0.6881327690098793,9.735747687302911,0.3915340707083075,COMPLETE
35,0.6199659825259392,2024-01-28 22:11:04.429978,2024-01-28 22:11:37.529770,0 days 00:00:33.099792,0.5953456679924751,1.6201973771537084,9,1150,3.6361048339522912,55.536816862290635,0.3760605620669861,COMPLETE
36,0.6355516253066307,2024-01-28 22:11:06.209045,2024-01-28 22:11:39.534409,0 days 00:00:33.325364,0.16076558686119025,2.5625751303690523,9,1200,0.12667508634009295,2.920100129324233,0.38410218160590254,COMPLETE
37,0.659422683423292,2024-01-28 22:11:07.434134,2024-01-28 22:11:41.145639,0 days 00:00:33.711505,0.18540724510309878,3.6398429810184822,12,1150,2.054763309244978,57.29407372403314,0.4638884238165012,COMPLETE
38,0.6522378067160743,2024-01-28 22:11:07.773191,2024-01-28 22:11:40.759080,0 days 00:00:32.985889,0.141716479528334,18.722346837804103,4,1250,0.5368793455001903,99.48730834413259,0.4808701354405124,COMPLETE
39,0.6518910055125252,2024-01-28 22:11:08.060183,2024-01-28 22:11:44.171789,0 days 00:00:36.111606,0.1570316240515671,2.3621763459924203,4,1100,1.8839079541343526,56.40595573839637,0.4817181267349154,COMPLETE
40,0.6556500878123738,2024-01-28 22:11:12.984010,2024-01-28 22:11:48.457622,0 days 00:00:35.473612,0.17323110994695048,19.684424221103455,4,3850,2.008576123139946,62.23572225997145,0.48103289996846516,COMPLETE
41,0.6555723495512651,2024-01-28 22:11:14.295008,2024-01-28 22:11:42.998717,0 days 00:00:28.703709,0.13834465286931052,20.133342533557066,4,900,0.5825195970406596,57.412126317866,0.5445191543819421,COMPLETE
42,0.6539945456797327,2024-01-28 22:11:17.835239,2024-01-28 22:11:54.262992,0 days 00:00:36.427753,0.13447483018670858,10.132223830035226,13,5000,9.529688259731586,55.07187394612956,0.9974682066617984,COMPLETE
43,0.6569485033890652,2024-01-28 22:11:18.175240,2024-01-28 22:11:46.015825,0 days 00:00:27.840585,0.13450350823458276,9.884332106113222,13,1050,11.416181052353894,56.32752660641614,0.9304320206271008,COMPLETE
44,0.6494529029871702,2024-01-28 22:11:19.260976,2024-01-28 22:11:48.286101,0 days 00:00:29.025125,0.13058169738884895,12.839466465138315,13,950,12.638428490563326,58.79412152835988,0.9787022987886332,COMPLETE
45,0.6489477721156127,2024-01-28 22:11:22.885519,2024-01-28 22:11:49.991218,0 days 00:00:27.105699,0.13730785210666263,12.957387918846102,13,950,12.679805830033418,56.44316798392502,0.9921091292994976,COMPLETE
46,0.6530154794169858,2024-01-28 22:11:29.342959,2024-01-28 22:11:57.804205,0 days 00:00:28.461246,0.1440882831946637,11.17414829144967,13,3950,12.584621485852752,58.75288786830882,0.9880951296317259,COMPLETE
47,0.6491667456898538,2024-01-28 22:11:31.388243,2024-01-28 22:11:58.757617,0 days 00:00:27.369374,0.12969754425116997,12.154432150870614,13,4100,13.126557518876488,59.032188347609456,0.9969744385498305,COMPLETE
48,0.6522822118407997,2024-01-28 22:11:34.188111,2024-01-28 22:12:02.263060,0 days 00:00:28.074949,0.12985585342687023,11.510095469699188,13,3950,10.767292281444519,63.14351245509754,0.9843634272435113,COMPLETE
49,0.6509536819497902,2024-01-28 22:11:34.600626,2024-01-28 22:12:06.079721,0 days 00:00:31.479095,0.15368817404451218,12.219751998114026,13,3950,13.089431264476573,60.8391714096028,0.9902319687549811,COMPLETE
50,0.6535860879448444,2024-01-28 22:11:37.680768,2024-01-28 22:12:07.754508,0 days 00:00:30.073740,0.1408308595514192,10.323741670390952,12,4000,12.672266896399632,63.41964857265713,0.990350384676997,COMPLETE
51,0.6556314629075051,2024-01-28 22:11:39.509371,2024-01-28 22:12:11.284826,0 days 00:00:31.775455,0.12942972255108853,12.545723004769469,13,4300,13.57465287414007,64.25595771905652,0.8712317822489865,COMPLETE
52,0.657357338362137,2024-01-28 22:11:39.669410,2024-01-28 22:12:14.843459,0 days 00:00:35.174049,0.13888121834445452,10.71162516784285,13,4100,13.58487670844162,63.24500733412208,0.8761543359732175,COMPLETE
53,0.6537365777644243,2024-01-28 22:11:40.952124,2024-01-28 22:12:13.099345,0 days 00:00:32.147221,0.28841733740787023,11.680197663402783,13,2450,13.007488496250849,60.98186428120185,0.8833945721886381,COMPLETE
54,0.6560456023290774,2024-01-28 22:11:41.274639,2024-01-28 22:12:19.978606,0 days 00:00:38.703967,0.26639687499404663,10.806241046513309,18,4100,14.435535164252853,64.01970508779078,0.8711578027857398,COMPLETE
55,0.6573388066209056,2024-01-28 22:11:43.140715,2024-01-28 22:12:18.382362,0 days 00:00:35.241647,0.3064397011812313,9.688697826805425,17,2500,12.77722341690548,45.55381546800999,0.8962140809462691,COMPLETE
56,0.6487535223661782,2024-01-28 22:11:44.279788,2024-01-28 22:12:23.432627,0 days 00:00:39.152839,0.28667700166478516,12.675421460388947,13,4000,14.591951847683147,18.541065372484443,0.9887121457402804,COMPLETE
57,0.6563588521891837,2024-01-28 22:11:46.136826,2024-01-28 22:12:25.911342,0 days 00:00:39.774516,0.008933645948763183,12.26814443321509,13,3850,10.763342215308596,62.68781741883779,0.8331119229376739,COMPLETE
58,0.6595682173047599,2024-01-28 22:11:48.416621,2024-01-28 22:12:29.552600,0 days 00:00:41.135979,0.2951554673364245,12.01536465626392,17,4000,10.313253697575421,18.65747754539916,0.8539836674515985,COMPLETE
59,0.6599341115686623,2024-01-28 22:11:48.586622,2024-01-28 22:12:34.278718,0 days 00:00:45.692096,0.01264639237301212,12.378471624891914,18,4150,10.626509757949329,16.75782930126427,0.8468103727142849,COMPLETE
60,0.638666063638061,2024-01-28 22:11:50.100219,2024-01-28 22:12:36.280103,0 days 00:00:46.179884,0.0028705097504862663,24.79040920812597,15,4100,21.69399810447559,17.828827343706635,0.8218415936789305,COMPLETE
61,0.6366670998556317,2024-01-28 22:11:54.396993,2024-01-28 22:12:38.645706,0 days 00:00:44.248713,0.27010477908664876,24.73600060293176,18,4150,18.543604272346634,17.347574154894858,0.8500015288892206,COMPLETE
62,0.6392024316955153,2024-01-28 22:11:57.941721,2024-01-28 22:12:43.006296,0 days 00:00:45.064575,0.006359168479090613,25.307077837280307,17,4400,20.779798119478915,16.85621740916299,0.8492632717979605,COMPLETE
63,0.6347583696773158,2024-01-28 22:11:58.890651,2024-01-28 22:12:45.565748,0 days 00:00:46.675097,0.28605098609881296,24.51915273288591,16,4350,18.93334461369886,45.70038535970716,0.8464421759827869,COMPLETE
64,0.63650818732661,2024-01-28 22:12:02.410060,2024-01-28 22:12:49.684834,0 days 00:00:47.274774,0.0036131633714989106,24.064681386076714,18,4350,23.1662985028133,48.06880349963614,0.8890285950901187,COMPLETE
65,0.6376313905976205,2024-01-28 22:12:06.253272,2024-01-28 22:12:53.253317,0 days 00:00:47.000045,0.009393616703032848,28.108546494418206,16,4350,18.673135861709003,19.8097008706834,0.8557677698022751,COMPLETE
66,0.6388213006980522,2024-01-28 22:12:07.870507,2024-01-28 22:12:55.717942,0 days 00:00:47.847435,0.0020847234675224063,26.23669163666209,17,4300,20.073239653460618,8.136366586934063,0.8589430942299394,COMPLETE
67,0.6619829771502032,2024-01-28 22:12:11.418827,2024-01-28 22:12:55.020942,0 days 00:00:43.602115,0.02389920562685944,5.684685720527737,15,2800,20.42426899157005,43.052459544201255,0.8746610422301073,COMPLETE
68,0.6356869937981817,2024-01-28 22:12:13.247345,2024-01-28 22:13:01.194193,0 days 00:00:47.946848,0.00136447422484208,26.44933015611905,15,3650,19.623286128549267,49.03260038909789,0.9210674058870515,COMPLETE
69,0.6369301696358883,2024-01-28 22:12:14.998462,2024-01-28 22:13:02.034741,0 days 00:00:47.036279,0.00833746258996143,25.119059782725323,16,3500,20.923373526907646,46.31374517093634,0.9266052175797762,COMPLETE
70,0.6368811790682706,2024-01-28 22:12:18.523362,2024-01-28 22:13:02.972409,0 days 00:00:44.449047,0.012537071340140551,26.308413729043615,15,3550,22.29558865134605,16.998978686883838,0.9368332127514281,COMPLETE
71,0.6372190118489656,2024-01-28 22:12:20.093607,2024-01-28 22:13:09.556696,0 days 00:00:49.463089,0.0013812087031538356,26.518268409677937,15,3550,19.499411490059888,6.850819659648291,0.9313947394914619,COMPLETE
72,0.6357956694324447,2024-01-28 22:12:23.575698,2024-01-28 22:13:10.564296,0 days 00:00:46.988598,0.012451510318714921,27.8437815066617,15,3650,25.217844897165467,7.328985023717747,0.8142089466107592,COMPLETE
73,0.6408427115168132,2024-01-28 22:12:26.054341,2024-01-28 22:13:09.993696,0 days 00:00:43.939355,0.07375836205836206,25.236852172701532,15,3300,20.88657963666077,7.622820907311565,0.9316405757969325,COMPLETE
74,0.638268845490751,2024-01-28 22:12:29.689598,2024-01-28 22:13:16.653603,0 days 00:00:46.964005,0.08250994071033013,26.324731048372268,15,3400,23.343124492754004,6.860971317962987,0.9357313381086528,COMPLETE
75,0.6593988479968399,2024-01-28 22:12:34.411718,2024-01-28 22:13:17.417203,0 days 00:00:43.005485,0.083294864233421,6.973992202895842,15,3550,22.558736445306906,6.293636729698877,0.935537126243189,COMPLETE
76,0.667189376506558,2024-01-28 22:12:36.410138,2024-01-28 22:13:18.493411,0 days 00:00:42.083273,0.054273578163581304,6.674319076404554,15,3600,6.350092494565063,6.738984389377376,0.9316749384909855,COMPLETE
77,0.6710292546318942,2024-01-28 22:12:38.800814,2024-01-28 22:13:24.335600,0 days 00:00:45.534786,0.07756080234134305,6.362979490561087,15,3550,7.719178785175213,8.230738921847927,0.9412192362557416,COMPLETE
78,0.6716063293398693,2024-01-28 22:12:43.153811,2024-01-28 22:13:24.906644,0 days 00:00:41.752833,0.08237100844348089,6.34339084733592,15,3350,7.086234791906457,7.369584678299487,0.9376973887747918,COMPLETE
79,0.6704910540879675,2024-01-28 22:12:45.726817,2024-01-28 22:13:25.829691,0 days 00:00:40.102874,0.0745944394839704,6.557970559843243,11,3450,6.204241424216805,7.004469485757038,0.9304412447913012,COMPLETE
